,Cod,Nombre,Descripcion ,Stock,Tipo
0,1,Cethapil loción limpiadora ,"Limpiador líquido, brinda una limpieza profunda sin resecar ni irritar la piel, manteniéndola suave y tersa.",15,Crema
1,2,Crema Pond´s Rejuveness 50 G Tarro,"La crema antiarrugas Pond´s Rejuveness desarrollada con una fórmula avanzada que activa la firmeza y ayuda a reducir la aparición de arrugas de afuera hacia dentro, para una piel firme y joven por fuera.",13,Crema
2,3,Crema anti-edad Cicatricure," Ayuda a reducir y prevenir líneas de expresión, bolsas, arrugas y ojeras gradualmente. ",25,Crema
3,4,La roche Posay Retinol B3 Serum,"Concentrado anti-arrugas que regenera y unifica la textura de la piel, incluso para pieles sensibles.",6,Crema
4,5,Crema Active Repair Institut Esthederm ,Crema Corrección de Arrugas Active Repair reestructura y regenera intensamente la piel a la vez que proporciona luminosidad y brillo duraderos,10,Crema
5,6,Bassa Velvet Sunscreen Face Color Bloq Solar ,"Revolucionario bloqueador solar facial en gel que cuenta con tecnología segunda piel, una capa de protección invisible, con textura aterciopelada, no grasosa, de rápida absorción y excelente esparcibilidad",3,Crema
6,7,Crema La Roche Posay Redermic Hyalu,"Redermic C combina un 5% de Vitamina C pura, un ingrediente activo líder en antienvejecimiento, y la Madecasosida, un ingrediente activo purificado al 95% reconocido por sus propiedades reparadoras de la piel, para intensificar la síntesis de las fibras de relleno y de sostén de la piel",16,Crema
7,8,Crema Avène Physiolift Contorno De Ojos Antiedad Frasco 15 Ml Frasco,Rellena las arrugas y retensa la piel alrededor del contorno de los ojos.,19,Crema
8,9,Crema Eucerin Anti-Manchas 30 Ml Tubo Dual Serum Facial Eucerin anti-pigment,Ayuda a reducir las manchas de pigmentación de la piel,12,Crema
9,10,Protector Solar La Roche Posay Anthelios Anti Pigmentación Spf 50,Protección solar dermatológica enriquecida con Procerad. Muy alta protección. Amplio espectro. Sin perfume. Para rostro y zonas expuestas. Muy alta protección,20,Crema
10,11,Nivea Crema Manos Q10 Anti Age,Crema de manos antiarrugas con Coenzima Q10 y Filtros UV que previene y reduce los primeros signos del envejecimiento dejando las manos suaves y cuidadas.,32,Crema
11,12,Protector Solar Photoderm Max Spf 100 Frasco, La crema fotoprotectora máxima que estimula los sistemas de autodefensa de la piel,18,Crema
12,13,Intensivo Hialurónico Mascarilla Institut Esthederm,"Mascarilla hialurónica intensiva, deshidratación intensa, arrugas, tirantez. Hidrata profundamente; las arrugas y las líneas de deshidratación se suavizan.",10,Crema
13,14,Hydrance Avene Aqua Gel,"Hidrata,calma y detoxifica",21,Crema
14,15,Corrector Pigmentbio,"Textura gel crema ligera y envolvente, de rápida absorción. Brinda 8 horas de hidratación, el pigmentbio c-concentrate elimina las células con altas concentraciones de melanina, reduce la intensidad y tamaño de las marcas existentes y suaviza la textura de la piel dándole intensidad.",25,Crema
15,16,Mascarilla Exfoliante Clarificante Osmoclean Institut Esthederm,"Macarilla clarificante pulidora exfoliante, sin granos. El primer producto que combina el poder limpiador de una rica mascarilla en crema y un exfoliante sin granos con un efecto suave que aclara y unifica el cutis. La piel está purificada, limpia y lista para recibir tratamientos.",5,Crema
16,17,LINEZOLIDA 600 MG CON REV CT BL AL PLAS OPC X 10,Linezolid es un antibiótico del grupo de las oxazolidinonas que actúa impidiendo el crecimiento de determinadas bacterias (gérmenes) que causan infecciones.,12,Antibiótico
17,18,Amoxicilina Normon 500 mg,Amoxicilina Normon es un antibiótico. El principio activo es amoxicilina. Este pertenece a un grupo de medicamentos denominados “penicilinas”.,25,Antibiótico
18,19,ZYVOX 600 MG CON REV CT BL AL PLAS PVC OPC X 10,"Zyvoxid está indicado para el tratamiento de la neumonía nosocomial y de la neumonía adquirida en la comunidad en adultos, cuando se tenga la certeza o se sospeche que estén causadas por bacterias Gram-positivas sensibles a linezolid.",41,Antibiótico
19,20,LYNOZ 2 MG/ML SOL INFUS IV CX 1 ENV X BOLS PLAS TRANS SISTEMA CERRADO X 300 ML,"Antibacteriano, inhibe la síntesis proteica bacteriana por unión al ribosoma y bloqueo de la translación.",32,Antibiótico
20,21,DERMAZINA 10 MG/G CREM VAG CT BG PLAS OPC X 30 G + 6 APLICACIONES,Es un antibiótico del grupo de las sulfamidas y clorhexidina es un desinfectante que potencia la acción antimicrobiana de la sulfadiazina.,21,Antibiótico
21,22,NOVADERM 5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLICACIÓN,Crema vaginal indicada para la cauterización del cuello uterino ,25,Antibiótico
22,23,ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA 5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLICACIÓN,La crema vaginal de acetato de clostebol + sulfato de neomicina está indicada para el tratamiento local después de la cauterización del cuello uterino .,12,Antibiótico
23,24,TEICOPLANINA 200 MG PO LIOF SOL INY IV/IM CX 10 FA VD TRANS X 15 ML,"Teicoplanina es un antibiótico glicopéptido similar a la Vancomicina, pero con acción mas duradera. Puede ser administrada en forma intramuscular como intravenosa",32,Antibiótico
24,25,TYGACIL 50 MG PO LIOF INY CT 10 FA VD INC,Tygacil está indicado en adultos y en niños a partir de ocho años de edad para el tratamiento de las siguientes infecciones ,12,Antibiótico
25,26,UROCTRINA 80 MG + 400 MG + 50 MG CON REV CT BL AL PLAS INC X 20,Sistema genitourinario y hormonas sexuales,65,Antibiótico
26,27,BIO-C 1 G CON EFEV CT TB PLAS X 10,La sustancia del remedio Bio-c es el ÁCIDO ASCÓRBICO ,25,VITAMINA C PURA
27,28,REDOXÓN 2 G CON EFEV CT TB PLAST X 10,Es una fórmula de alta potencia que contiene 10 vitaminas y minerales* para ayudar a mantener su sistema inmunológico,35,VITAMINA C PURA
28,29,CEBION 2 G CON EFEV EST CT TB PLAS X 10,Antioxidante. Cofactor en numerosos sistemas enzimáticos debido a su potencial redox,12,VITAMINA C PURA
29,30,CENEVIT 2 G CON EFEV CT TB PLAS X 10 (SABOR NARANJA),Vitamina C sabor naranja 10 tabletas efervescentes,16,VITAMINA C PURA
30,31,VITAMINA C MÉDICA 500 MG CON CT BL AL PLAS LAR X 20,500 mg comprimidos masticables. Ácido Ascórbico (Vitamina C),18,VITAMINA C PURA
31,32,Neurobión 200MG,"Comprimido recubierto de Vitamina B1, Vitamina B6 y/o B12 100 mg+200 mg+0.2 mg",54,VITAMINA B1 PURA
32,33,NEO QUÍMICA VITAMINA B1 300 MG CON REV CT BL AL PLAS INC X 30,"La vitamina B1 es un fármaco indicado para tratar y suprimir la deficiencia de vitamina B1 en el organismo . Su carencia se asocia con síntomas como falta de apetito, debilidad, irritabilidad y cambios cardíacos y neurológicos.",42,VITAMINA B1 PURA
33,34,VITAUM 300 MG CON REV CT BL AL PVC X 30,sustancia del remedio Vitaum es el CLORHIDRATO DE TIAMINA,21,VITAMINA B1 PURA
34,35,Dolo Neurobion Lidocaína Ampollas,"Ampolla de Clorhidrato de Lidocaína, Clorhidrato de Piridoxina y Clorhidrato de Tiamina.",12,VITAMINA B1 PURA
35,36,Dolo Neurobión Forte Unidad,"Tableta de diclofenaco, tiamina, piridoxina y cianocobalamina.",7,VITAMINA B1 PURA
36,37,SANY D 5000 UI CON REV CT BL AL PLAS OPC X 30,"Medicamento básico de vitamina D3 (colecalciferol), indicado para pacientes que presentan insuficiencia y deficiencia de vitamina D.",8,VITAMINA D PURA
37,38,DPREV 50000 UI CON REV CT BL AL PLAS OPC X 8,"DPREV es un medicamento a base de colecalciferol (vitamina D3), indicado para pacientes con insuficiencia y deficiencia de vitamina D.",16,VITAMINA D PURA
38,39,SOF D 50000 UI TAPÓN GEL MOLE CT BL AL PLAS TRANS X 4,"SOF D es un fármaco a base de vitamina D3 (colecalciferol), indicado para la prevención y tratamiento auxiliar de la osteoporosis",42,VITAMINA D PURA
39,40,SANY D 50000 UI CON REV CT BL AL PLAS OPC X 4,"medicamento básico de vitamina D3 (colecalciferol), indicado para pacientes que presentan insuficiencia y deficiencia de vitamina D.",41,VITAMINA D PURA
40,41,Farma D Mag 2000 Ui Unidad,"Cada CÁPSULA BLANDA de 2000 UI contiene: Vitamina D3 (1.000.000 UI/g) 2,0 mg",55,VITAMINA D PURA
41,42,Dolo Neurobión Forte Unidad,"Tableta de diclofenaco, tiamina, piridoxina y cianocobalamina.",64,Vitamina B12
42,43,Dolo Neurobion Grageas,"Gragea de Diclofenaco Sódico, Vitamina B1 (Tiamina), Vitamina B12, Vitamina B6 (Piridoxina).",53,Vitamina B12
43,44,Ampollas Dexabion 3 Ml Caja,Caja con una jeringa y aguja.,46,Vitamina B12
44,45,Ferro-B Complex Folic Lamosan Unidad,"Tabletas recubiertas con suplemento de hierro, ácido fólico y vitaminas del complejo B.",28,Vitamina B12
45,46,Recom-B Liquicaps Unidad,"Para el buen funcionamiento del sistema nervioso (sueño relajado, entusiasmo, buena memoria). Para el buen funcionamiento cardiovascular y protección contra los efectos del estrés, contra infecciones y alergias, contra defectos congénitos. Para prevenir o corregir la anemia. Para el mantenimiento sano de piel y uñas.",32,Vitamina B12
46,47,CLORHIDRATO DE TRAMADOL 50 MG CAP GEL DURO CT BL AL PLAS AMB X 10,"Hidrocloruro de tramadol, el principio activo de Tramadol Aurovitas, es un analgésico de tipo opioide que actúa sobre el sistema nervioso central.",12,Analgésico
47,48,TYFLEN 500 MG CON CT BL AL PLAS TRANS X 200,La sustancia del medicamento Tyflen es PARACETAMOL,25,Analgésico
48,49,TYFLEN 500 MG CON CT BL AL PLAS TRANS X 20,La sustancia del medicamento Tyflen es PARACETAMOL,41,Analgésico
49,50,PARACETAMOL 750 MG CON REV CT BL AL PLAS TRANS X 200,"Para reducir y aliviar la fiebre dolor temporal de leve a moderado, como: dolor asociado con resfriados común, dolor de cabeza, dolor de cuerpo, dolor de muelas, dolor de espalda, dolores musculares, dolor leve asociado con la artritis y los calambres menstruales.",32,Analgésico
50,51,Femen Forte 400 Mg Unidad,Capsula de femen Forte de 400mg de Ibuprofeno.,25,Analgésico
51,52,CETOPROFENO 25 MG/G GEL CT BG AL X 30 G,Disminución de la síntesis de prostaglandinas mediante la inhibición de la vía de la ciclooxigenasa.,43,Analgésico
52,53,CETOFÉNIDO 25 MG/G GEL CT BG AL X 30 G,Disminución de la síntesis de prostaglandinas mediante la inhibición de la vía de la ciclooxigenasa.,28,Analgésico
53,54,OMEPRAZOL (OMEZZOL 20 MG CAP X 10),Inhibe la secreción de ácido en el estómago. Se une a la bomba de protones en la célula parietal gástrica,13,Analgésico
54,55,OXYPYNAL 20 MG CON REV LIB PROL CT BL AL AL ??X 14,"para el tratamiento del dolor moderado a severo, cuando se requiere la administración continua de un analgésico, las 24 horas del día, por un período prolongado de tiempo.",32,Analgésico
55,56,Femen 200 Mg Unidad,Cápsula Blanda de Ibuprofeno 200 mg.,58,Analgésico
56,57,Aquilea Sueño 0.55 G Unidad,"Comprimidos de Melatonina, Velriana, Pasiflora,Amapola 1.95 mg/ 50 mg/ 100 mg/ 100 mg",21,Tranquilizantes
57,58,Ansiolife Calm Green Life 60Ml Gotero,Ansiolife Calm Green Life 60ml gotero,16,Tranquilizantes
58,59,ALPRAZOLAM 0.5 MG CON CT BL AL PLAS OPC X 30,"Es un medicamento tranquilizante (ansiolíticos); pertenece al grupo de las benzodiazepinas. Este medicamento está indicado en el tratamiento de estados de ansiedad generalizada, ansiedad asociada a síntomas de depresión y en el tratamiento de trastornos por angustia con o sin agorafobia (fobia a espacios abiertos muy llenos de gente).",25,Tranquilizantes
59,60,Good Sleep Nature'S Garden Unidad,"Nature's Garden Good sleep, frasco contiene 60 tabletas.",45,Tranquilizantes
60,61,Neurexan Caja,"Passiflora incarnata D2 0,6 mg; Avena sativa D2 0,6 mg; Coffea arabica D12 0,6 mg; Zincum isovalerianicum D4 0,6 mg. Excipientes: Estearato de magnesio, lactosa. Elaborado conforme a las normas de la Farmacopea Homeopática Alemana (HAB).",43,Tranquilizantes
61,62,SOMALIUM 2.5 MG/ML SOL O CT FR PLAS OPC GOT X 20 ML,"Está indicado para la ansiedad, la tensión y otras dolencias somáticas o psicológicas asociadas con síndrome de ansiedad También está indicado para uso adyuvante en el tratamiento de la ansiedad y la agitación.",35,Tranquilizantes
62,63,BROMAZEPAM 3 MG CON CT BL AL PLAS TRANS X 30,"indicado para la ansiedad, la tensión y otras dolencias físicas o psicológicas asociadas con síndrome de ansiedad También está indicado como coadyuvante en el tratamiento de la ansiedad y la agitación. Asociado con afecciones psiquiátricas, como trastornos del estado de ánimo",17,Tranquilizantes
63,64,"Alprazolam Alter 0,50 mg comprimidos EFG","Alprazolam Alter pertenece a un grupo de medicamentos llamados tranquilizantes (ansiolíticos) derivados del compuesto llamado benzodiazepina, que actúan sobre la ansiedad, la tensión psíquica y las crisis de angustia.",25,Tranquilizantes
64,65,SULPAN 1 MG + 25 MG CAP GEL DURA CT BL AL PLAS TRANS X 20,"Está indicado para el tratamiento de pacientes que presenten síntomas de ansiedad, tensión, excitación, insomnio, tristeza, depresión e inhibición psicomotora.",34,Tranquilizantes
65,66,Diazepam Normon 5MG ,"Facilita la unión del GABA a su receptor y aumenta su actividad. Actúa sobre el sistema límbico, tálamo e hipotálamo.",32,Tranquilizantes
66,67,CLORHIDRATO DE BUPROPIÓN 150 MG CON REV LIB PROL CT BL AL AL ??X 61,indicado en el tratamiento de episodios de depresión mayor.,34,Antidepresivos
67,68,Ezentius 20 Mg ,"Está destinado al tratamiento de la depresión en su fase inicial y al tratamiento de mantenimiento para la prevención de las recidivas, trastornos de ansiedad. Antidepresivo.",53,Antidepresivos
68,69,Lexapro 10 Mg ,Trastornos depresivos mayores. Tratamiento de los trastornos de pánico con o sin agorafobia. Tratamiento de los trastornos de ansiedad generalizada. Tratamiento de los desórdenes de ansiedad social (fobia social). Tratamiento del trastorno obsesivo compulsivo,15,Antidepresivos
69,70,Fapris 100 Mg,Tratamiento del trastorno depresivo mayor.,32,Antidepresivos
70,71,Novo Humorap 10 Mg,"indicado para el tratamiento de: Trastorno depresivo mayor (según DSM-IV), tanto inicial como de mantenimiento para evitar la recaída. Trastorno de angustia (trastornos de pánico) con o sin agorafobia (según DSM-IV). Fobia social (según DSM-IV). Trastorno de ansiedad generalizada (según DSM-IV). Trastorno obsesivo-compulsivo (según DSM-IV).",19,Antidepresivos
71,72,Sertralina 50 Mg,indicada como antidepresivo y en tratamiento del trastorno obsesivo compulsivo y en el trastorno de pánico.,23,Antidepresivos
72,73,Serolux 50 Mg,"Episodios depresivos mayores. Prevención de reaparición de episodios depresivos mayores.  Trastorno obsesivo-compulsivo.  Trastorno de angustia, con o sin agorafobia, trastorno de ansiedad social y trastorno por estrés postraumático.",26,Antidepresivos
73,74,Fluoxetina Mintlab 20 G,"Indicado en episodios depresivos mayores, trastorno obsesivo-compulsivo, bulimia nerviosa (complemento a psicoterapia), episodios depresivos de moderados a graves, si no hay respuesta a la terapia psicológica después de 4 a 6 sesiones.",11,Antidepresivos
74,75,Paxil 25 Mg,"Indicado para Episodio depresivo mayor, trastorno obsesivo compulsivo, trastorno de angustia con y sin agorafobia, trastorno de ansiedad social/fobia social",8,Antidepresivos
75,76,Prozac Eli 20 Mg,Indicado para Episodios depresivos mayores.  Trastorno obsesivo-compulsivo.  Bulimia nerviosa.  Episodios depresivos de moderados a graves.,25,Antidepresivos
76,77,Intensivo Vitamina C Crema Institut Esthederm 50 Ml Unidad,"Gel - Crema intensiva de vitamina C, manchas oscuras, falta de luminosidad, pérdida de firmeza. Evita la aparición de nuevas manchas oscuras, la piel se alisa, se mejora la uniformidad del tono. Textura gel-crema ultraligera y confortable. Probado bajo control dermatológico.",3,Dermocosmética
77,78,Parches Lift&Repair Institut Esthederm Contorno De Ojos Caja,"Parches de elevación y reparación de contorno de ojos tratamientos completos de múltiples acciones: hinchazón, ojeras, flacidez y marcas de fatiga.",5,Dermocosmética
78,79,Mascarilla Lift&Repair Repulpante Instantánea Institut Esthederm 50 Ml Unidad,"Máscarilla rellenado instantanea rellena y levanta instantáneamente para

Piel radiante y juvenil ""sin arrugas"". Suavizada, hidratada y tersa, la piel luce radiantemente bella.",100,Dermocosmética
79,80,Serum Avène A-Oxitive 30 Ml Frasco,"A-Oxitive es un potente sérum antioxidante con acción anti-edad. Su innovador mecanismo de acción libera Vitaminas C y E a lo largo del día, a partir de las Pre-moléculas de Vitaminas C y E que se vuelven puras y activas sólo al entrar en contacto y de acuerdo a la necesidad de su piel.",6,Dermocosmética
80,81,Queratol Crema Hidratante 200 G Tubo,Crema hidratante Urea 10% 200 mg.,5,Dermocosmética
81,82,Unguento Dérmico Dermabiótico Saval 15 G Tubo,Unguento de Polimixima B y Bacitracina 15 G.,11,Dermocosmética
82,83,Agua Termal Con Protector Solar Avène Spf50 200 Ml Spray,Agua Termal on protector solar Avène SPF50 200 ML en Spray. ,10,Dermocosmética
83,84,Humectante Cetaphil Ultra 226 G Tubo,Loción corporal especialmente formulada para proporcionar una hidratación intensa diaria a las pieles muy secas y sensibles.,8,Dermocosmética
84,85,Discrom Control Neoretin Gelcream 40 Ml Tubo,Crema de día despigmentante con factor de protección solar de 40 ml.,7,Dermocosmética
85,86,Protector Solar Photoderm Cover Touch Bioderma Spf 50+ 40 G Unidad,"PHOTODERM COVER TOUCH SPF50+ 40 G: Protector solar mineral de alta cobertura, control del brillo.",4,Dermocosmética
86,87,Ensure Advance Vainilla 900 G Tarro,"Nutrición Especializada. Contiene HMB (Beta-Hidroxy-Beta-Metilbutirato), proteína, HMB, vitaminas y minerales. Libre de lactosa y gluten. Para preparar una porción de 230 ml, sirve 190 ml de agua fría o a temperatura ambiente en un vaso y adiciona gradualmente 6 medidas de polvo al ras (cucharada medidora incluida en la lata). Revuelve hasta disolver el polvo completamente.",14,Suplementos
87,88,Pediasure Vainilla 1600 G Tarro,"PediaSure satisface las necesidades diarias de proteínas, vitaminas y minerales. Puede utilizarse como suplemento alimentario o como única fuente de alimentación. Cuando se toma el número correcto de raciones, proporciona el 100% de la cantidad diaria recomendada (CDR) de proteínas, vitaminas y minerales para niños de entre 1 y 10 años de edad.",10,Suplementos
88,89,Curamed Tutti Frutti ,"Tabletas masticables para la garganta, Calostro + Vitamina C. Alivia la garganta irritada, evita la infección de la mucosa, fortalece el sistema inmunológico.",15,Suplementos
89,90,Chupete 90 G,Chupetes de vitamina C,21,Suplementos
90,91,Pharmaton 29.25 G ,"Para estados de agotamiento (ej. : causados por el estrés), fatiga, sensación de debilidad, disminución de la concentración, también como disminución en la alerta mental. Para nutrición deficiente o mal equilibrada ",34,Suplementos
91,92,Chupete Pectina + Vitamina C Bee Farma Cereza/Uva,Acción protectora sobre la garganta irritada.,21,Suplementos
92,93,Magnesio Live Nature'S Garden 890 Mg,"Mantener el buen estado de su sistema óseo, articulaciones y piel",37,Suplementos
93,94,Beralclausii 5 Ml,"Prevención, tratamiento de la disbiosis intestinal de diversa etiología. Reduce la intensidad y frecuencia de diarreas. Coadyuvante al tratamiento",31,Suplementos
94,95,Ton Was 10 Ml ,"Suplemento energético bajo condiciones normales o de estrés. En estados de convalecencia y en períodos de intensa actividad: exámenes, deportes, estrés; estados de fatiga, cansancio, decaimiento. Protección de anemias y anorexia.",26,Suplementos
95,96,Pharmaton 50+,"Pharmaton® 50 Plus es una fórmula completa y equilibrada con vitaminas, minerales esenciales y ácidos grasos Omega-3 (EPA y DHA), que ha sido especialmente desarrollada para cubrir las necesidades nutricionales específicas del organismo a partir de los 50 años, y para contribuir a compensar ligeras carencias causadas por dietas desequilibradas o restrictivas.",18,Suplementos
96,97,Oxímetro Drive Pulso Unidad,Oxímetro de pulso Drive para niños y adultos.  Pantalla LED de visualización múltiple y fácil de leer.  Muestra SpO2 y pulso. ,5,Accesorios Médicos
97,98,Termometro Digital Scanmed Dmt- 437 Unidad,Se puede utilizar para medir la temperatura corporal. El termómetro está diseñado con la tecnología más actualizada.,20,Accesorios Médicos
98,99,Zapatones Desechables Unidad,Zapatones Desechables Unidad,21,Accesorios Médicos
99,100,Mascarilla Para Nebulización Prodimeda Unidad,"Para administración de medicamentos como: broncodilatadores, antiinflamatorios, mucoliticos o combinados.",22,Accesorios Médicos
